Year,Value
2004,8.65073932620876
2005,9.225465238632
2006,8.69737125709894
2008,6.98734813407849
2009,7.364374097201099
2010,7.40832793631404
2011,6.883648949880261
2012,6.6587684276750005
2013,6.79344676611058
2014,6.47584506234072
2015,6.230880299786251
