Year,Value
2001,1.65513241
2002,1.640981297
2003,1.5877512880000002
2004,1.551260888
2005,1.602514613
2006,1.579575775
2007,1.6131792619999998
2008,1.620263231
2009,1.686916198
2010,1.6644842819999999
2011,1.685957032
2012,1.6272408369999998
2013,1.66794764
2014,1.6687700280000002
2015,1.688778959
2015,0.24456484
