Year,Value
2004,11.0780510848455
2005,11.493999399514198
2006,11.030471829541302
2008,8.884717245808071
2009,9.236445747431231
2010,9.05209710689768
2011,9.05037812924376
2012,8.78329928391209
2013,8.46507731914865
2014,8.16539027980212
2015,7.7096732192690505
